Strip Name,Original File Name,HoleID,EatenPct,EatenFrac,x,y,r,Tone,QA
20250826_155709-s1-g.jpg,20250826_155709-s1,1,7.66,0.0766,1453,87,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,2,0.0,0.0,1663,93,16,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,3,22.53,0.2253,85,83,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,4,0.0,0.0,189,83,18,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,5,3.64,0.0364,1557,89,16,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,6,30.13,0.3013,713,89,18,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,7,59.49,0.5949,1133,89,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,8,16.46,0.1646,399,87,21,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,9,29.32,0.2932,605,87,19,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,10,0.0,0.0,297,81,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,11,19.76,0.1976,503,85,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,12,27.3,0.273,1241,87,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,13,70.47,0.7047,923,89,18,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,14,3.11,0.0311,1345,91,17,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,15,7.4,0.074,815,87,16,Gray,ok
20250826_155709-s1-g.jpg,20250826_155709-s1,16,13.05,0.1305,1031,89,16,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,1,4.85,0.0485,1151,61,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,2,1.56,0.0156,1249,61,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,3,0.0,0.0,323,67,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,4,25.71,0.2571,1583,59,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,5,1.78,0.0178,1367,57,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,6,6.75,0.0675,529,67,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,7,8.31,0.0831,733,67,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,8,1.39,0.0139,1465,61,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,9,4.18,0.0418,1047,57,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,10,29.27,0.2927,115,65,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,11,0.13,0.0013,841,67,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,12,33.82,0.3382,1681,63,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,13,0.0,0.0,425,77,24,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,14,26.5,0.265,209,77,22,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,15,2.99,0.0299,631,71,21,Gray,ok
20250826_155709-s2-g.jpg,20250826_155709-s2,16,12.79,0.1279,951,57,22,Gray,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,1,22.87,0.2287,75,49,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,2,22.31,0.2231,1009,51,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,3,2.34,0.0234,171,59,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,4,4.68,0.0468,695,51,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,5,23.59,0.2359,485,55,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,6,10.32,0.1032,799,53,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,7,26.96,0.2696,1107,53,22,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,8,44.17,0.4417,1211,59,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,9,41.94,0.4194,1323,53,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,10,55.49,0.5549,1425,59,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,11,57.39,0.5739,1541,57,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,12,67.01,0.6701,1651,63,21,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,13,30.23,0.3023,283,47,24,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,14,26.5,0.265,381,57,22,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,15,18.52,0.1852,905,49,22,White,ok
20250826_155709-s3-w.jpg,20250826_155709-s3,16,38.65,0.3865,591,57,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,1,50.36,0.5036,1539,77,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,2,14.67,0.1467,1125,65,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,3,39.65,0.3965,605,65,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,4,12.88,0.1288,1231,81,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,5,52.93,0.5293,811,67,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,6,44.0,0.44,511,55,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,7,3.37,0.0337,1433,75,19,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,8,39.42,0.3942,1651,75,19,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,9,34.58,0.3458,299,61,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,10,15.39,0.1539,401,59,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,11,27.33,0.2733,909,63,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,12,12.72,0.1272,1021,71,22,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,13,1.23,0.0123,707,67,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,14,8.76,0.0876,199,57,24,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,15,2.24,0.0224,1331,69,22,White,ok
20250826_155709-s4-w.jpg,20250826_155709-s4,17,1.71,0.0171,93,65,22,White,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,1,1.03,0.0103,1355,57,23,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,2,0.22,0.0022,1663,65,24,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,3,0.0,0.0,1241,59,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,4,3.01,0.0301,1569,63,24,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,5,8.23,0.0823,833,51,23,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,6,0.22,0.0022,1041,49,21,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,7,3.56,0.0356,413,47,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,8,19.05,0.1905,941,47,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,9,3.69,0.0369,627,47,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,10,1.78,0.0178,107,33,24,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,11,16.35,0.1635,727,47,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,12,5.97,0.0597,315,33,24,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,13,8.64,0.0864,203,43,24,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,14,7.45,0.0745,1141,55,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,15,5.21,0.0521,1453,63,22,Gray,ok
20250826_155709-s5-g.jpg,20250826_155709-s5,16,29.4,0.294,517,45,22,Gray,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,1,0.0,0.0,523,73,21,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,2,54.98,0.5498,1243,89,22,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,3,24.68,0.2468,1047,89,23,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,4,85.95,0.8595,1661,91,24,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,5,58.49,0.5849,1355,95,21,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,6,4.9,0.049,839,79,23,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,7,1.6,0.016,629,73,21,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,8,2.69,0.0269,733,77,21,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,9,66.7,0.667,1451,97,19,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,10,1.91,0.0191,419,67,22,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,11,73.14,0.7314,315,77,17,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,12,14.93,0.1493,107,69,21,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,13,47.79,0.4779,949,89,22,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,14,46.15,0.4615,205,61,19,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,15,2.66,0.0266,1145,87,19,White,ok
20250826_155709-s6-w.jpg,20250826_155709-s6,16,48.17,0.4817,1563,99,17,White,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,1,1.22,0.0122,1001,61,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,2,0.11,0.0011,1309,65,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,3,0.0,0.0,167,49,16,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,4,0.22,0.0022,1103,63,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,5,7.4,0.074,1413,67,16,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,6,1.19,0.0119,899,59,18,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,7,0.0,0.0,375,51,18,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,8,0.0,0.0,691,55,16,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,9,3.89,0.0389,1207,63,16,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,10,7.53,0.0753,795,57,16,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,11,13.65,0.1365,61,47,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,12,56.16,0.5616,1519,65,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,13,47.95,0.4795,269,51,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,15,3.77,0.0377,587,51,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,16,4.11,0.0411,481,55,17,Gray,ok
20250826_155709-s7-g.jpg,20250826_155709-s7,17,38.51,0.3851,1617,61,17,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,1,2.36,0.0236,1321,47,23,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,2,23.2,0.232,903,45,22,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,3,2.64,0.0264,1419,49,22,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,4,0.0,0.0,177,33,22,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,5,94.55,0.9455,1213,43,18,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,6,11.88,0.1188,697,39,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,7,0.0,0.0,1009,43,21,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,8,2.57,0.0257,589,41,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,9,15.28,0.1528,1625,51,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,10,3.69,0.0369,1523,49,22,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,11,38.02,0.3802,379,41,21,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,12,4.68,0.0468,793,41,22,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,13,1.62,0.0162,1111,47,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,14,4.24,0.0424,279,31,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,15,1.17,0.0117,485,41,24,Gray,ok
20250826_155709-s8-g.jpg,20250826_155709-s8,16,12.33,0.1233,79,31,22,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,1,0.09,0.0009,1183,103,19,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,2,52.79,0.5279,559,97,19,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,3,51.11,0.5111,1713,101,19,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,4,58.9,0.589,871,101,19,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,5,59.38,0.5938,1611,107,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,6,5.17,0.0517,1081,111,20,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,7,0.51,0.0051,767,99,21,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,8,51.39,0.5139,247,89,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,9,66.15,0.6615,1395,109,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,10,44.46,0.4446,359,103,19,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,11,72.36,0.7236,979,107,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,12,44.47,0.4447,149,101,20,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,13,40.47,0.4047,455,95,22,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,14,0.0,0.0,1497,107,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,15,0.0,0.0,1279,107,17,Gray,ok
20250826_161616-s1-g.jpg,20250826_161616-s1,16,78.91,0.7891,665,101,17,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,1,0.0,0.0,1477,99,18,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,2,3.45,0.0345,1261,99,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,3,4.22,0.0422,1161,95,21,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,4,1.68,0.0168,129,89,21,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,5,0.0,0.0,1689,97,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,6,0.27,0.0027,851,93,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,7,0.27,0.0027,645,89,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,8,0.27,0.0027,227,81,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,9,2.66,0.0266,965,97,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,10,0.0,0.0,749,93,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,11,0.0,0.0,1593,103,17,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,12,2.83,0.0283,437,85,22,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,13,2.48,0.0248,543,91,19,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,14,2.89,0.0289,1065,113,17,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,15,0.59,0.0059,337,95,22,Gray,ok
20250826_161616-s2-g.jpg,20250826_161616-s2,16,1.33,0.0133,1373,101,17,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,1,0.0,0.0,1711,77,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,2,0.0,0.0,1177,75,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,3,0.0,0.0,1079,77,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,4,0.0,0.0,1603,79,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,5,0.0,0.0,1387,77,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,6,0.0,0.0,1493,77,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,7,98.23,0.9823,867,75,19,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,8,64.53,0.6453,973,75,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,9,100.0,1.0,153,69,17,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,10,97.0,0.97,561,73,17,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,11,83.98,0.8398,243,73,21,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,12,59.96,0.5996,759,75,19,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,13,0.22,0.0022,1287,83,24,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,14,1.19,0.0119,655,71,22,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,15,95.22,0.9522,351,69,19,Gray,ok
20250826_161616-s3-g.jpg,20250826_161616-s3,16,31.44,0.3144,449,69,22,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,1,0.0,0.0,1595,85,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,2,0.39,0.0039,863,73,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,3,0.56,0.0056,1493,85,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,4,0.0,0.0,241,65,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,5,0.0,0.0,143,65,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,6,30.45,0.3045,449,69,24,Gray,ok
20250826_161616-s4-g.jpg,20250826_161616-s4,7,61.46,0.6146,1393,85,24,Gray,ok
